original,parsed_name,recipe_name,recipe_idx
600 g Spaghetti,Spaghetti,Spaghetti Haselnuss-Bolognese,185
1 ½ Salatgurken,Salatgurken,Gurken-ThunVisch-Schiffchen,186
1 Nori-Blatt,Nori-Blatt,Gurken-ThunVisch-Schiffchen,186
50 g Gewürzgurken,Gewürzgurken,Gurken-ThunVisch-Schiffchen,186
60 g Knollensellerie,Knollensellerie,Gurken-ThunVisch-Schiffchen,186
120 g Mayonnaise,Mayonnaise,Gurken-ThunVisch-Schiffchen,186
1 TL Senf,Senf,Gurken-ThunVisch-Schiffchen,186
1 Kresse-Beet,Kresse-Beet,Gurken-ThunVisch-Schiffchen,186
100 g Emmentaler,Emmentaler,Herzhafte Quark-Schnitten,187
100 g Salami,Salami,Herzhafte Quark-Schnitten,187
"50 g Schinken, gekocht",Schinken,Herzhafte Quark-Schnitten,187
50 g gelbe Paprika,gelbe Paprika,Herzhafte Quark-Schnitten,187
50 g Champignons,Champignons,Herzhafte Quark-Schnitten,187
"500 g Quark, 40% Fett","Quark, 40% Fett",Herzhafte Quark-Schnitten,187
4 Eier,Eier,Herzhafte Quark-Schnitten,187
85 g Mehl,Mehl,Herzhafte Quark-Schnitten,187
1 TL Paprika edelsüß,Paprika edelsüß,Herzhafte Quark-Schnitten,187
1 geh. TL Pizzagewürz,eh. TL Pizzagewürz,Herzhafte Quark-Schnitten,187
5 g Minze,Minze,Wassermelonen-Spargel-Salat mit Feta,188
80 g Griechischer Joghurt (10% Fett),Griechischer Joghurt,Wassermelonen-Spargel-Salat mit Feta,188
20 g Senf,Senf,Wassermelonen-Spargel-Salat mit Feta,188
20 g Aprikosenkonfitüre,Aprikosenkonfitüre,Wassermelonen-Spargel-Salat mit Feta,188
60 g Champagneressig,Champagneressig,Wassermelonen-Spargel-Salat mit Feta,188
"230 g Spargel, weiß","Spargel, weiß",Wassermelonen-Spargel-Salat mit Feta,188
20 g Pinienkerne,Pinienkerne,Wassermelonen-Spargel-Salat mit Feta,188
100 - 150 g Römersalatherzen,- 150 g Römersalatherzen,Wassermelonen-Spargel-Salat mit Feta,188
150 g Feta,Feta,Wassermelonen-Spargel-Salat mit Feta,188
200 g Brokkoliröschen,Brokkoliröschen,Schupfnudeln mit grünem Gemüse in Frischkäse-Sauce,189
"200 g Erbsen, TK",Erbsen,Schupfnudeln mit grünem Gemüse in Frischkäse-Sauce,189
800 g Schupfnudeln,Schupfnudeln,Schupfnudeln mit grünem Gemüse in Frischkäse-Sauce,189
30 g Mehl,Mehl,Schupfnudeln mit grünem Gemüse in Frischkäse-Sauce,189
½ TL Oregano,Oregano,Schupfnudeln mit grünem Gemüse in Frischkäse-Sauce,189
10 g Senf,Senf,Schupfnudeln mit grünem Gemüse in Frischkäse-Sauce,189
350 g Erdbeeren,Erdbeeren,Lachs mit Erdbeertopping,190
15 g Koriander,Koriander,Lachs mit Erdbeertopping,190
"1 grüne Chilischote, frisch",rüne Chilischote,Lachs mit Erdbeertopping,190
"4 Lachsfilets, frisch, ohne Haut","achsfilets, ohne Haut",Lachs mit Erdbeertopping,190
100 g Sellerie,Sellerie,Kopfsalat-Suppe,191
120 g Porree,Porree,Kopfsalat-Suppe,191
"200 g Kartoffeln, mehligkochend","Kartoffeln, mehligkochend",Kopfsalat-Suppe,191
2 Lorbeerblätter,orbeerblätter,Kopfsalat-Suppe,191
2 Pimentkörner,Pimentkörner,Kopfsalat-Suppe,191
2 Wacholderbeeren,Wacholderbeeren,Kopfsalat-Suppe,191
½ TL Muskat,Muskat,Kopfsalat-Suppe,191
50 g Crème légère,Crème légère,Kopfsalat-Suppe,191
150 g Kopfsalat,Kopfsalat,Kopfsalat-Suppe,191
15 g Essig,Essig,Kopfsalat-Suppe,191
80 g Porree,Porree,Schnelles Kabeljau-Kokos-Curry,192
10 g Koriander,Koriander,Schnelles Kabeljau-Kokos-Curry,192
30 g gelbe Currypaste,gelbe Currypaste,Schnelles Kabeljau-Kokos-Curry,192
"800 g Kabeljaufilet, frisch, ohne Haut","Kabeljaufilet, ohne Haut",Schnelles Kabeljau-Kokos-Curry,192
250 g Rindfleisch,Rindfleisch,Brokkoli-Apfel-Salat mit Rindfleisch,193
250 - 300 g Brokkoliröschen,- 300 g Brokkoliröschen,Brokkoli-Apfel-Salat mit Rindfleisch,193
40 g Mandelstifte,Mandelstifte,Brokkoli-Apfel-Salat mit Rindfleisch,193
15 g Senf,Senf,Brokkoli-Apfel-Salat mit Rindfleisch,193
5 Zweige Rosmarin,Zweige Rosmarin,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
5 Zweige Thymian,Zweige Thymian,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
5 Stängel Oregano,Oregano,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
200 g Crème fraîche,Crème fraîche,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
500 g Mairübchen,Mairübchen,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
200 g Flusskrebsfleisch,Flusskrebsfleisch,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
800 g Gnocchi,Gnocchi,Mairübchen-Ragout mit Flusskrebsen und Gnocchi,194
"250 g Rindfleisch, sehnenfrei, in Stücken","Rindfleisch, sehnenfrei, in Stücken",Brokkolisalat mit Apfel und Rind,195
250 - 300 g Brokkoliröschen,- 300 g Brokkoliröschen,Brokkolisalat mit Apfel und Rind,195
40 g Mandelstifte,Mandelstifte,Brokkolisalat mit Apfel und Rind,195
15 g Senf,Senf,Brokkolisalat mit Apfel und Rind,195
"80 g Walnüsse, halbiert","Walnüsse, halbiert","Spinatsalat mit Hendl, Pfirsichen und Walnüssen",196
"300 g Hendlfilets, ohne Haut, ohne Knochen","Hendlfilets, ohne Haut, ohne Knochen","Spinatsalat mit Hendl, Pfirsichen und Walnüssen",196
150 g Pfirsiche,Pfirsiche,"Spinatsalat mit Hendl, Pfirsichen und Walnüssen",196
15 g Senf,Senf,"Spinatsalat mit Hendl, Pfirsichen und Walnüssen",196
"½ TL Paprikapulver, edelsüß","Paprikapulver, edelsüß","Spinatsalat mit Hendl, Pfirsichen und Walnüssen",196
"300 g Babyspinat, frisch",Babyspinat,"Spinatsalat mit Hendl, Pfirsichen und Walnüssen",196
"40 g Walnüsse, halbiert","Walnüsse, halbiert","Fisolensalat mit Speck, Nüssen und Parmesan",197
"40 g Haselnüsse, ganz","Haselnüsse, ganz","Fisolensalat mit Speck, Nüssen und Parmesan",197
"150 g Marillen, frisch",Marillen,"Fisolensalat mit Speck, Nüssen und Parmesan",197
80 g Speckwürfel,Speckwürfel,"Fisolensalat mit Speck, Nüssen und Parmesan",197
"400 g Fisolen, frisch",Fisolen,"Fisolensalat mit Speck, Nüssen und Parmesan",197
"1 TL gemischte Kräuter, frisch",gemischte Kräuter,"Fisolensalat mit Speck, Nüssen und Parmesan",197
60 g Süßkartoffel,Süßkartoffel,Gemüsebrei mit Kokosmilch und Hähnchen,198
50 g Möhre,Möhre,Gemüsebrei mit Kokosmilch und Hähnchen,198
200 g Feta,Feta,Gegrillte Feta-Spitzpaprika,199
120 g Magerquark,Magerquark,Gegrillte Feta-Spitzpaprika,199
1 Prise Paprika rosenscharf,Paprika rosenscharf,Gegrillte Feta-Spitzpaprika,199
"½ TL Oregano, getrocknet",Oregano,Gegrillte Feta-Spitzpaprika,199
"½ TL Rosmarin, getrocknet, gehackt","Rosmarin, gehackt",Gegrillte Feta-Spitzpaprika,199
"3 Spitzpaprika, rot","Spitzpaprika, rot",Gegrillte Feta-Spitzpaprika,199
"10 g Koriander, frisch",Koriander,Ziegenkäse-Pasta mit Avocado,200
5 Minzblätter,Minzblätter,Ziegenkäse-Pasta mit Avocado,200
10 g Schnittlauch,Schnittlauch,Ziegenkäse-Pasta mit Avocado,200
"½ - 1 ½ rote Chilischoten, frisch",- 1 ½ rote Chilischoten,Ziegenkäse-Pasta mit Avocado,200
2 TL frische Thymianblättchen,frische Thymianblättchen,Ziegenkäse-Pasta mit Avocado,200
340 g Tagliatelle,Tagliatelle,Ziegenkäse-Pasta mit Avocado,200
"40 g Pinienkerne, geröstet","Pinienkerne, geröstet",Ziegenkäse-Pasta mit Avocado,200
300 g Salsiccia,Salsiccia,Salsiccia-Risotto,201
300 g Risottoreis,Risottoreis,Salsiccia-Risotto,201
150 g gelbe Paprika,gelbe Paprika,Salsiccia-Risotto,201
"80 g Erbsen, TK",Erbsen,Salsiccia-Risotto,201
2 TL Kräuter der Provence,Kräuter der Provence,Salsiccia-Risotto,201
"40 g Babyspinat, frisch",Babyspinat,Salsiccia-Risotto,201
30 g Mehl,Mehl,Cheese-Makkaroni,202
½ TL Muskat,Muskat,Cheese-Makkaroni,202
½ TL Paprika edelsüß,Paprika edelsüß,Cheese-Makkaroni,202
160 g Cheddar,Cheddar,Cheese-Makkaroni,202
500 g kurze Makkaroni,kurze Makkaroni,Cheese-Makkaroni,202
10 g Dill,Dill,Gurken-Lachs-Ragout,203
400 g Salatgurken,Salatgurken,Gurken-Lachs-Ragout,203
"250 g Lachsfilet, frisch, ohne Haut","Lachsfilet, ohne Haut",Gurken-Lachs-Ragout,203
5 g Speisestärke,Speisestärke,Gurken-Lachs-Ragout,203
400 g Putengeschnetzeltes,Putengeschnetzeltes,Puten-Gemüse-Gyros,204
3 TL Gyrosgewürz,Gyrosgewürz,Puten-Gemüse-Gyros,204
1 TL Paprika edelsüß,Paprika edelsüß,Puten-Gemüse-Gyros,204
5 g Minze,Minze,Puten-Gemüse-Gyros,204
"250 g Joghurt, 3,5% Fett","Joghurt, 3,5% Fett",Puten-Gemüse-Gyros,204
300 g Brokkoliröschen,Brokkoliröschen,Puten-Gemüse-Gyros,204
250 g gelbe Paprika,gelbe Paprika,Puten-Gemüse-Gyros,204
200 g Champignons,Champignons,Puten-Gemüse-Gyros,204
200 g Chorizo,Chorizo,Erbsennudeln mit Bohnen-Chorizo-Sauce und Skrei,205
"600 g Winterkabeljau-Filet (Skrei), ohne Haut","Winterkabeljau-Filet, ohne Haut",Erbsennudeln mit Bohnen-Chorizo-Sauce und Skrei,205
"400 g Fusilli aus grünen Erbsen, getrocknet",Fusilli aus grünen Erbsen,Erbsennudeln mit Bohnen-Chorizo-Sauce und Skrei,205
30 g Mehl,Mehl,Erbsennudeln mit Bohnen-Chorizo-Sauce und Skrei,205
200 g Tempeh,Tempeh,Nudeln mit Tempeh und getrockneten Tomaten,206
"1 TL Oregano, getrocknet",Oregano,Nudeln mit Tempeh und getrockneten Tomaten,206
320 g kurze Nudeln,kurze Nudeln,Nudeln mit Tempeh und getrockneten Tomaten,206
2 EL Pinienkerne,Pinienkerne,Nudeln mit Tempeh und getrockneten Tomaten,206
"300 g Erbsen, TK",Erbsen,Tagliatelle mit Erbsenpesto und Ei,207
10 g Minze,Minze,Tagliatelle mit Erbsenpesto und Ei,207
"1 Zitrone, unbehandelt","Zitrone, unbehandelt",Tagliatelle mit Erbsenpesto und Ei,207
4 Eier,Eier,Tagliatelle mit Erbsenpesto und Ei,207
250 g Tagliatelle,Tagliatelle,Tagliatelle mit Erbsenpesto und Ei,207
1 Bund Koriander,Koriander,Kalte Avocado-Kokos-Suppe,208
3 - 5 Tropfen Tabasco,- 5 Tropfen Tabasco,Kalte Avocado-Kokos-Suppe,208
20 g Kokosraspeln,Kokosraspeln,Kalte Avocado-Kokos-Suppe,208
3 Zweige Thymian,Zweige Thymian,Burrata-Brot-Salat mit Erdbeer-Salsa,209
½ Ciabatta,Ciabatta,Burrata-Brot-Salat mit Erdbeer-Salsa,209
¼ - ½ Chilischote,- ½ Chilischote,Burrata-Brot-Salat mit Erdbeer-Salsa,209
3 Zweige Minze,Zweige Minze,Burrata-Brot-Salat mit Erdbeer-Salsa,209
200 g Erdbeeren,Erdbeeren,Burrata-Brot-Salat mit Erdbeer-Salsa,209
1 TL Senf,Senf,Burrata-Brot-Salat mit Erdbeer-Salsa,209
2 Kugeln Burrata,Kugeln Burrata,Burrata-Brot-Salat mit Erdbeer-Salsa,209
"2 EL Pinienkerne, geröstet","Pinienkerne, geröstet",Burrata-Brot-Salat mit Erdbeer-Salsa,209
200 g Babyspinat,Babyspinat,Spinat-Waffel-Sandwiches,210
2 Eier,Eier,Spinat-Waffel-Sandwiches,210
120 g Mehl,Mehl,Spinat-Waffel-Sandwiches,210
1 TL Natron,Natron,Spinat-Waffel-Sandwiches,210
50 g Schmand,Schmand,Spinat-Waffel-Sandwiches,210
70 g Parmaschinken,Parmaschinken,Spinat-Waffel-Sandwiches,210
1 Kresse-Beet,Kresse-Beet,Spinat-Waffel-Sandwiches,210
"3 EL Pinienkerne, geröstet","Pinienkerne, geröstet",Spinat-Waffel-Sandwiches,210
"4 Zweiglein Oregano, frisch",Zweiglein Oregano,Schnelle Tomatensuppe mit Basilikum,211
"4 Zweiglein Thymian, frisch",Zweiglein Thymian,Schnelle Tomatensuppe mit Basilikum,211
"1 Lorbeerblatt, getrocknet",orbeerblatt,Schnelle Tomatensuppe mit Basilikum,211
500 g Brombeeren,Brombeeren,Brombeermarmelade mit Crémant und Vanille,212
½ Vanilleschote,Vanilleschote,Brombeermarmelade mit Crémant und Vanille,212
100 g Schaumwein,Schaumwein,Brombeermarmelade mit Crémant und Vanille,212
30 g Pinienkerne,Pinienkerne,Garnelen-Pasta mit Pesto-Sauce,213
500 g Vollkornnudeln,Vollkornnudeln,Garnelen-Pasta mit Pesto-Sauce,213
"80 g Babyspinat, frisch",Babyspinat,Garnelen-Pasta mit Pesto-Sauce,213
"200 g Garnelen, roh, geschält, TK","Garnelen, geschält",Garnelen-Pasta mit Pesto-Sauce,213
1 Chilischote,Chilischote,Garnelen-Pasta mit Pesto-Sauce,213
3 Zweige Thymian,Zweige Thymian,Garnelen-Pasta mit Pesto-Sauce,213
250 g Tagliatelle,Tagliatelle,Vegane Pasta mit Erdnusssauce und Gemüse,214
70 g Möhren,Möhren,Vegane Pasta mit Erdnusssauce und Gemüse,214
70 g Brokkoli,Brokkoli,Vegane Pasta mit Erdnusssauce und Gemüse,214
200 g Erdnusscreme,Erdnusscreme,Vegane Pasta mit Erdnusssauce und Gemüse,214
2 Stängel Koriander,Koriander,Vegane Pasta mit Erdnusssauce und Gemüse,214
400 g Kürbis,Kürbis,Reisnudeltopf mit Kürbis und Paprika,215
250 g Risoni-Nudeln,Risoni-Nudeln,Reisnudeltopf mit Kürbis und Paprika,215
300 g rote Paprika,rote Paprika,Reisnudeltopf mit Kürbis und Paprika,215
1 TL Paprika edelsüß,Paprika edelsüß,Reisnudeltopf mit Kürbis und Paprika,215
½ TL Paprika rosenscharf,Paprika rosenscharf,Reisnudeltopf mit Kürbis und Paprika,215
"1 TL Oregano, getrocknet",Oregano,Reisnudeltopf mit Kürbis und Paprika,215
"1 TL Thymian, getrocknet",Thymian,Reisnudeltopf mit Kürbis und Paprika,215
50 g Feta,Feta,Reisnudeltopf mit Kürbis und Paprika,215
1 TL Zitronenschale,Zitronenschale,Gelbe Gazpacho mit Bacon-Chips,216
80 g Weißbrot,Weißbrot,Gelbe Gazpacho mit Bacon-Chips,216
50 g Bacon,Bacon,Gelbe Gazpacho mit Bacon-Chips,216
350 g Gurke,Gurke,Gelbe Gazpacho mit Bacon-Chips,216
200 g gelbe Paprika,gelbe Paprika,Gelbe Gazpacho mit Bacon-Chips,216
20 g Sherryessig,Sherryessig,Gelbe Gazpacho mit Bacon-Chips,216
½ TL Kurkuma,Kurkuma,Gelbe Gazpacho mit Bacon-Chips,216
100 g rote Paprika,rote Paprika,Gelbe Gazpacho mit Bacon-Chips,216
200 g Karotten,Karotten,Erfrischender Bohneneintopf,217
180 g Stangensellerie,Stangensellerie,Erfrischender Bohneneintopf,217
200 g Paprikaschoten,Paprikaschoten,Erfrischender Bohneneintopf,217
"1 TL Thymian, getrocknet",Thymian,Erfrischender Bohneneintopf,217
"2 Gemüsesuppenwürfel (für je 0,5 l)",emüsesuppenwürfel,Erfrischender Bohneneintopf,217
40 g Cashewkerne,Cashewkerne,Süßkartoffel-Kurkuma-Suppe,218
7 Datteln,Datteln,Süßkartoffel-Kurkuma-Suppe,218
"3 - 4 Zweiglein frische Kräuter, gemischt","- 4 Zweiglein frische Kräuter, gemischt",Süßkartoffel-Kurkuma-Suppe,218
1 EL Sesamsamen,Sesamsamen,Süßkartoffel-Kurkuma-Suppe,218
15 g frischer Ingwer,frischer Ingwer,Süßkartoffel-Kurkuma-Suppe,218
550 g Süßkartoffeln,Süßkartoffeln,Süßkartoffel-Kurkuma-Suppe,218
"2 Gemüsesuppenwürfel (für 0,5 l)",emüsesuppenwürfel,Süßkartoffel-Kurkuma-Suppe,218
"1 EL Kurkuma, gemahlen","Kurkuma, gemahlen",Süßkartoffel-Kurkuma-Suppe,218
300 g Kartoffeln,Kartoffeln,Veganes Käsefondue,219
80 g Nussmus (pur),Nussmus,Veganes Käsefondue,219
50 g Pflanzendrink,Pflanzendrink,Veganes Käsefondue,219
1 TL Senf,Senf,Veganes Käsefondue,219
"¼ TL Kurkuma, gemahlen","Kurkuma, gemahlen",Veganes Käsefondue,219
2 EL Tapiokastärke,Tapiokastärke,Veganes Käsefondue,219
2 ½ EL Hefeflocken,Hefeflocken,Veganes Käsefondue,219
10 EL Pflanzendrink,Pflanzendrink,Veganes Käsefondue,219
500 g Weißbrot,Weißbrot,Veganes Käsefondue,219
160 g Hinterschinken,Hinterschinken,One-Pot-Pasta mit Schinken,220
250 g Halbrahm,Halbrahm,One-Pot-Pasta mit Schinken,220
400 g Maccheroni,Maccheroni,One-Pot-Pasta mit Schinken,220
400 g Bandnudeln,Bandnudeln,Nudeln mit Zucchini-Ricotta-Sauce,221
350 g Eisbergsalat,Eisbergsalat,Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
200 g Schmand,Schmand,Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
500 g Kasseler,Kasseler,Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
30 g Paniermehl,Paniermehl,Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
"2 Brötchen, altbacken","Brötchen, altbacken",Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
2 Eier,Eier,Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
"15 g Senf, mittelscharf","Senf, mittelscharf",Kasseler-Frikadellen mit Eisbergsalat und Zitronen-Dressing,222
200 g Aprikosen,Aprikosen,Sommer-Pasta-Salat,223
180 - 200 g Römersalat,- 200 g Römersalat,Sommer-Pasta-Salat,223
250 g kurze Nudeln,kurze Nudeln,Sommer-Pasta-Salat,223
2 Prisen Chiliflocken,n Chiliflocken,Sommer-Pasta-Salat,223
200 g Burrata,Burrata,Sommer-Pasta-Salat,223
" Kerne, gemischt","Kerne, gemischt",Sommer-Pasta-Salat,223
400 g gelbe Paprika,gelbe Paprika,Paprika-Shakshuka mit Avocado,224
1 TL Paprika de la Vera,Paprika de la Vera,Paprika-Shakshuka mit Avocado,224
1 TL Kurkuma,Kurkuma,Paprika-Shakshuka mit Avocado,224
½ Bund Koriander,Koriander,Paprika-Shakshuka mit Avocado,224
1 Fladenbrot,Fladenbrot,Paprika-Shakshuka mit Avocado,224
60 g Weissweinessig,Weissweinessig,Käsesalat mit Gurke und Tomaten,225
2 TL Senf,Senf,Käsesalat mit Gurke und Tomaten,225
200 g gemischter Salat,gemischter Salat,Käsesalat mit Gurke und Tomaten,225
200 g Gurke,Gurke,Käsesalat mit Gurke und Tomaten,225
400 g Bergkäse,Bergkäse,Käsesalat mit Gurke und Tomaten,225
300 g gemischter Blattsalat,gemischter Blattsalat,Zitronengras-Rindfleisch-Salat,226
20 g Minze,Minze,Zitronengras-Rindfleisch-Salat,226
20 g Koriander,Koriander,Zitronengras-Rindfleisch-Salat,226
10 g Speisestärke,Speisestärke,Zitronengras-Rindfleisch-Salat,226
350 g Rinderfiletsteak,Rinderfiletsteak,Zitronengras-Rindfleisch-Salat,226
30 g Zitronengras,Zitronengras,Zitronengras-Rindfleisch-Salat,226
20 g Fischsauce,Fischsauce,Zitronengras-Rindfleisch-Salat,226
"1 rote Chilischote, frisch",rote Chilischote,Zitronengras-Rindfleisch-Salat,226
1 Limette,imette,Zitronengras-Rindfleisch-Salat,226
1 Baguette,Baguette,Zitronengras-Rindfleisch-Salat,226
40 g Pecorino,Pecorino,Miso-Udon-Carbonara,227
150 g Schinkenspeckwürfel,Schinkenspeckwürfel,Miso-Udon-Carbonara,227
1 Ei,Ei,Miso-Udon-Carbonara,227
3 Eigelb,Eigelb,Miso-Udon-Carbonara,227
25 - 30 g Misopaste,- 30 g Misopaste,Miso-Udon-Carbonara,227
600 g Udon-Nudeln,Udon-Nudeln,Miso-Udon-Carbonara,227
 Sesam,Sesam,Miso-Udon-Carbonara,227
" Chiliflocken, getrocknet",Chiliflocken,Miso-Udon-Carbonara,227
1 Prise Chilipulver,Chilipulver,Süßkartoffel-Reis-Topf,228
1 TL Kreuzkümmel (Cumin),Kreuzkümmel,Süßkartoffel-Reis-Topf,228
2 TL Curry,Curry,Süßkartoffel-Reis-Topf,228
400 g Süßkartoffeln,Süßkartoffeln,Süßkartoffel-Reis-Topf,228
120 g Langkornreis,Langkornreis,Süßkartoffel-Reis-Topf,228
"120 g Erbsen, TK",Erbsen,Süßkartoffel-Reis-Topf,228
"250 g Kartoffeln, festkochend","Kartoffeln, festkochend",Kartoffel-Hühner-Frikassee mit Spätzle,229
"500 g Leipziger Allerlei, TK",Leipziger Allerlei,Kartoffel-Hühner-Frikassee mit Spätzle,229
"500 g Spätzle, trocken","Spätzle, trocken",Kartoffel-Hühner-Frikassee mit Spätzle,229
30 g Speisestärke,Speisestärke,Kartoffel-Hühner-Frikassee mit Spätzle,229
1 TL Worcester-Sauce,Worcester-Sauce,Kartoffel-Hühner-Frikassee mit Spätzle,229
"1 grüne Chilischote, frisch",rüne Chilischote,Auberginen-Tomaten-Curry,230
"20 g Ingwer, frisch",Ingwer,Auberginen-Tomaten-Curry,230
1 TL Kurkuma,Kurkuma,Auberginen-Tomaten-Curry,230
"1 ½ TL Kreuzkümmel (Cumin), gemahlen","Kreuzkümmel, gemahlen",Auberginen-Tomaten-Curry,230
"1 ½ TL Koriander, gemahlen","Koriander, gemahlen",Auberginen-Tomaten-Curry,230
½ TL Kardamom,Kardamom,Auberginen-Tomaten-Curry,230
60 g Kapern,Kapern,Schnelle Limetten-Rucola-Nudeln,231
250 g Penne,Penne,Schnelle Limetten-Rucola-Nudeln,231
¼ TL Muskat,Muskat,Schnelle Limetten-Rucola-Nudeln,231
"15 g Ingwer, frisch",Ingwer,Garnelen-Blumenkohlreis mit Gemüse,232
"200 g Garnelen, roh, geschält, TK","Garnelen, geschält",Garnelen-Blumenkohlreis mit Gemüse,232
2 Eier,Eier,Garnelen-Blumenkohlreis mit Gemüse,232
120 g gelbe Paprika,gelbe Paprika,Garnelen-Blumenkohlreis mit Gemüse,232
150 g Chinakohl,Chinakohl,Garnelen-Blumenkohlreis mit Gemüse,232
 Koriander,Koriander,Garnelen-Blumenkohlreis mit Gemüse,232
200 g Bacon,Bacon,Spargelpasta in Bacon-Sahne-Sauce,233
"400 g Spargel, weiß","Spargel, weiß",Spargelpasta in Bacon-Sahne-Sauce,233
500 g Linguine,Linguine,Spargelpasta in Bacon-Sahne-Sauce,233
15 g Speisestärke,Speisestärke,Spargelpasta in Bacon-Sahne-Sauce,233
¼ TL Paprika de la Vera,Paprika de la Vera,Spargelpasta in Bacon-Sahne-Sauce,233
2 - 3 Prisen Muskat,- 3 Prisen Muskat,Spargelpasta in Bacon-Sahne-Sauce,233
200 g Emmentaler,Emmentaler,Vegetarische Fladenbrotpizza,234
1 Fladenbrot,Fladenbrot,Vegetarische Fladenbrotpizza,234
40 g Mayonnaise,Mayonnaise,Vegetarische Fladenbrotpizza,234
2 TL Senf,Senf,Vegetarische Fladenbrotpizza,234
100 g Champignons,Champignons,Vegetarische Fladenbrotpizza,234
100 g gelbe Paprika,gelbe Paprika,Vegetarische Fladenbrotpizza,234
40 - 60 g rote Currypaste,- 60 g rote Currypaste,Garnelen-Curry,235
1 Möhre,Möhre,Garnelen-Curry,235
1 gelbe Paprika,elbe Paprika,Garnelen-Curry,235
"300 g Garnelen, roh, geschält","Garnelen, geschält",Garnelen-Curry,235
"100 g Babyspinat, frisch",Babyspinat,Garnelen-Curry,235
80 g Appenzeller Käse,Appenzeller Käse,Spinat-Zitronen-Risotto,236
300 g Risottoreis,Risottoreis,Spinat-Zitronen-Risotto,236
1 Bio-Zitrone,Bio-Zitrone,Spinat-Zitronen-Risotto,236
100 g Weisswein,Weisswein,Spinat-Zitronen-Risotto,236
1 Gemüsebouillonwürfel,emüsebouillonwürfel,Spinat-Zitronen-Risotto,236
150 g Jungspinat,Jungspinat,Spinat-Zitronen-Risotto,236
½ frische Chili,frische Chili,Mexikanische Hähnchen-Bowl,237
1 - 1 ½ TL Mexikanische Gewürzmischung für Tacos,- 1 ½ TL Mexikanische Gewürzmischung für Tacos,Mexikanische Hähnchen-Bowl,237
1 TL Erythrit,Erythrit,Mexikanische Hähnchen-Bowl,237
130 g Eisbergsalat,Eisbergsalat,Mexikanische Hähnchen-Bowl,237
20 g Jalapeño Chili,Jalapeño Chili,Mexikanische Hähnchen-Bowl,237
"2 EL Joghurt, 1,5% Fett","Joghurt, 1,5% Fett",Mexikanische Hähnchen-Bowl,237
400 g Shirataki-Nudeln,Shirataki-Nudeln,Low-Carb-Nudel-Bowl,238
"15 g Ingwer, frisch",Ingwer,Low-Carb-Nudel-Bowl,238
½ Bund Koriander,Koriander,Low-Carb-Nudel-Bowl,238
1 Möhre,Möhre,Low-Carb-Nudel-Bowl,238
10 g Sambal Oelek,Sambal Oelek,Low-Carb-Nudel-Bowl,238
100 g rote Paprika,rote Paprika,Low-Carb-Nudel-Bowl,238
30 g Ketjap Manis,Ketjap Manis,Low-Carb-Nudel-Bowl,238
20 g Speisestärke,Speisestärke,Low-Carb-Nudel-Bowl,238
1 Salatgurke,Salatgurke,Gurken-Sushi,239
25 g frischer Meerrettich,frischer Meerrettich,Gurken-Sushi,239
1 TL schwarzer Sesam,schwarzer Sesam,Gurken-Sushi,239
2 Prisen Chiliflocken,n Chiliflocken,Gurken-Sushi,239
½ TL Curry,Curry,Gurken-Sushi,239
300 g Räucherlachs,Räucherlachs,Gurken-Sushi,239
3 Zweige Rosmarin,Zweige Rosmarin,Blumenkohlsuppe mit Stilton,240
3 Zweige Thymian,Zweige Thymian,Blumenkohlsuppe mit Stilton,240
50 g Speckwürfel,Speckwürfel,Blumenkohlsuppe mit Stilton,240
100 g Kartoffeln,Kartoffeln,Blumenkohlsuppe mit Stilton,240
100 g Blauschimmelkäse,Blauschimmelkäse,Blumenkohlsuppe mit Stilton,240
4 Scheiben Brot,Scheiben Brot,Blumenkohlsuppe mit Stilton,240
300 g Risottoreis,Risottoreis,Risotto Cinque P,241
100 g Rotwein,Rotwein,Risotto Cinque P,241
100 g Vollrahm,Vollrahm,Risotto Cinque P,241
150 g Cheddar,Cheddar,One Pot Mac and Cheese,242
250 g kurze Makkaroni,kurze Makkaroni,One Pot Mac and Cheese,242
1 Prise Muskat,Muskat,One Pot Mac and Cheese,242
30 g Pecorino,Pecorino,Spaghetti alla carbonara,243
150 g Speckwürfeli,Speckwürfeli,Spaghetti alla carbonara,243
1 Ei,Ei,Spaghetti alla carbonara,243
3 Eigelb,Eigelb,Spaghetti alla carbonara,243
320 g Spaghetti,Spaghetti,Spaghetti alla carbonara,243
50 g gelbe Currypaste,gelbe Currypaste,Süßkartoffel-Rhabarber-Curry,244
200 g Rote-Bete-Saft,Rote-Bete-Saft,Süßkartoffel-Rhabarber-Curry,244
